Edeka
Möhrendorfer Str. 4, 91056 Erlangen
Overfeldweg 3 - 5, 51371 Leverkusen
Friedrich-Ebertplatz 2, 51373 Leverkusen
Nobelstr. 3, 51373 Leverkusen
Düsseldorfer Str. 41-45, 51379 Leverkusen
Gerhart-Hauptmann-Str. 72, 51379 Leverkusen
Schlebuscher Str. 78, 51381 Leverkusen
Heinrichstr. 52, 64283 Darmstadt
Luisencenter 5, 64283 Darmstadt
Rüdesheimer Str. 119-123, 64285 Darmstadt
Dieburger Str. 24, 64287 Darmstadt
Rossdörfer Str. 11, 64287 Darmstadt
Europaplatz 2, 64293 Darmstadt
Leydhecker Str. 16, 64293 Darmstadt
Pallaswiesenstraße 70-72, 64293 Darmstadt
Berliner Allee 59, 64295 Darmstadt
Heidelberger Landstr. 236-240, 64297 Darmstadt
Liebfrauenstraße 34, 64289 Darmstadt
Thomas-Mann-Platz 6, 64291 Darmstadt
Bohmter Straße 64/64 c, 49074 Osnabrück
Lengericher Landstr. 2, 49078 Osnabrück
Heinrichstr. 37, 49080 Osnabrück
Quebecallee 6, 49090 Osnabrück
Stockkamp 8, 42651 Solingen
Luetzowstr. 173, 42653 Solingen
Walter-Dodde-Str. 7, 42657 Solingen
Friedenstr. 96, 42699 Solingen
Unnersberger Allee 5, 42659 Solingen
Düsseldorfer Str. 80-82, 42697 Solingen
Königstraße 10 / Marienstraße 15, 33098 Paderborn
Warburger Str. 52, 33098 Paderborn
Driburger Str. 44, 33100 Paderborn
Klöcknerstr. 38-44, 33102 Paderborn
Schwabenweg 77, 33102 Paderborn
Danziger Str. 2, 33104 Paderborn
Dionysiusstr. 5-13, 33106 Paderborn
Siepenstr. 12, 44623 Herne
Bahnhofstraße 152 / Roonstr. 6, 44629 Herne
Hauptstr. 99, 44651 Herne
Dorstener Str. 283, 44653 Herne
Kurfürstenanlage 6, 69115 Heidelberg
Rohrbacherstr. 72, 69115 Heidelberg
Fahrtgasse 18, 69117 Heidelberg
Am Grünen Hag 2, 69118 Heidelberg
Berliner Str. 41-49, 69120 Heidelberg
Ladenburger Str. 68, 69120 Heidelberg
Furtwänglerstr. 15, 69121 Heidelberg
Im Weiher 14, 69121 Heidelberg
Grenzhöfer Weg 29, 69123 Heidelberg
Breslauer Str. 26, 69124 Heidelberg
Forum 5, 69126 Heidelberg
Im Franzosengewann 3, 69124 Heidelberg
Felix-Wankel-Straße 20, 69126 Heidelberg
Eibenweg 2, 41470 Neuss
Büchel 48, 41460 Neuss
Am Reuschenberger Markt 1, 41466 Neuss
Bonner Str. 155, 41468 Neuss
Lessingplatz 4, 41469 Neuss
Am alten Bach 39-41, 41470 Neuss
Bahnhofstr. 15, 41472 Neuss
Dachauplatz 1, 93047 Regensburg
Prüfeninger Str. 133, 93049 Regensburg
Wernerwerkstr. 2a, 93049 Regensburg
Dr.-Gessler-Str. 2, 93051 Regensburg
Von-Seeckt-Straße 11, 93053 Regensburg
Glashüttenstr. 7, 93055 Regensburg
Kastenmaierstr. 2, 93055 Regensburg
Harderstr. 24, 85049 Ingolstadt
Fauststr. 3, 85051 Ingolstadt
Eriagstraße 30, 85053 Ingolstadt
Manfred-Hochstatter-Str. 2, 85055 Ingolstadt
Westliche-Karl-Friedrich-Str. 37, 75172 Pforzheim
Hohenzollernstr. 16, 75177 Pforzheim
Hohenzollernstr. 37 - 39, 75177 Pforzheim
Büchenbronner Str. 70, 75172 Pforzheim
Rottendorfer Straße 67, 97074 Würzburg
Sankt Rochus Str. 36, 97078 Würzburg
Alfred-Nobel-Str. 12, 97080 Würzburg
Frankfurter Str. 56, 97082 Würzburg
Bürgeler Str. 52, 63075 Offenbach
Bieberer Straße 1-7, 63065 Offenbach am Main
Marktplatz 11-12, 63065 Offenbach Am Main
Mathildenstraße 15-19, 63065 Offenbach
Löwenstr. 25-27, 63067 Offenbach Am Main
Christian-Pless-Straße 18 / 20, 63069 Offenbach Am Main
Odenwaldring 70, 63069 Offenbach
Buchhügelallee 41, 63071 Offenbach am Main
Landgrafenstraße 33, 63071 Offenbach
Von-Brentano-Straße 14-16, 63073 Offenbach
Langstr. 40, 63075 Offenbach
Hafenplatz 1-3, 63067 Offenbach am Main
Vacher Str. 188, 90766 Fürth
Rudolf-Breitscheid-Str. 11, 90762 Fürth
Kaiserstr. 22, 90763 Fürth
Poppenreuther Str. 72-74, 90765 Fürth
Fleiner Str. 26, 74072 Heilbronn
Sülmerstr. 41, 74072 Heilbronn
Etzelstr. 38, 74076 Heilbronn
Moltkestr. 54, 74076 Heilbronn
Münsterplatz 16, 89073 Ulm
Schwamberger Str. 35-43, 89073 Ulm
Wielandstr. 56, 89073 Ulm
Trollinger Weg 14, 89075 Ulm
Virchowstr. 2, 89075 Ulm
Magirusstraße 45, 89077 Ulm
Römerstr. 120, 89077 Ulm
Haslacher Weg 24, 89075 Ulm
Beim Brückle 1, 89079 Ulm
Buchauerstr. 4, 89079 Ulm
Laagbergstr. 54, 38440 Wolfsburg
Porschestr. 45, 38440 Wolfsburg
Schlesierweg 15, 38440 Wolfsburg
G.-F.-Händel-Str. 10-11, 38442 Wolfsburg
Schulzen Hof 20, 38442 Wolfsburg
Braunschweiger Str. 204, 38444 Wolfsburg
Hallesche Str. 36, 38444 Wolfsburg
Meinstr. 96, 38448 Wolfsburg
Dresdener Straße 21, 38442 Wolfsburg
Groner Str. 54-55, 37073 Göttingen
Lange-Geismar-Str. 56, 37073 Göttingen
Prinzenstraße 13, 37073 Göttingen
Rosdorfer Weg 12, 37073 Göttingen
Weender Straße 80/82, 37073 Göttingen
Genfstr. 1, 37079 Göttingen
Sollingstr. 2, 37081 Göttingen
Geismar Landstraße 63a, 37083 Göttingen
Hauptstraße 46, 37083 Göttingen
Reinhäuser Landstr. 177, 37083 Göttingen
Am Steinsgraben 34, 37085 Göttingen
Weender Landstr. 76, 37075 Göttingen
Ludwig-Prandtl-Str. 26, 37077 Göttingen
Karl-Methe-Str. 1, 37083 Göttingen
Föhrstr. 40, 72760 Reutlingen
Ringelbachstr. 17, 72762 Reutlingen
Albstr. 60, 72764 Reutlingen
Heidenheck 17, 46236 Bottrop
Horster Str. 247, 46238 Bottrop
Prosper Str. 209, 46238 Bottrop
Horster Str. 367, 46240 Bottrop
Schulze-Delitzsch-Str. 3, 46244 Bottrop
Kirchhellener Str. 259, 46240 Bottrop
Rentforter Str. 1, 46244 Bottrop
Karl-Zucker-Str. 10, 91052 Erlangen
Michael-Vogel-Str. 1a, 91052 Erlangen
Nägelsbachstr. 26, 91052 Erlangen
Rudeltplatz 2, 91056 Erlangen
Cumianastr. 4, 91058 Erlangen
Oerweg 89a, 45657 Recklinghausen
Herner Str. 247, 45659 Recklinghausen
Westring 1, 45659 Recklinghausen
Dieselstr. 8, 45661 Recklinghausen
Am Waldschlösschen 32, 45663 Recklinghausen
Kronprinzenstr. 1, 42857 Remscheid
Vieringhausen 127, 42857 Remscheid
Bismarckstr. 87, 42859 Remscheid
Wupperstr. 13, 42897 Remscheid
Am Schützenplatz 10, 42899 Remscheid
Alte Kölner Str. 5, 42897 Remscheid
Hohenfelder Str. 22, 56068 Koblenz
Niederberger Höhe Nr. 66, 56077 Koblenz
Gulisastr. 15, 56072 Koblenz
Hauptstr. 170 - 174, 51465 Bergisch Gladbach
Odenthaler Str. 196, 51467 Bergisch Gladbach
Lustheide 6-8, 51427 Bergisch Gladbach
Siebenmorgen 40, 51427 Bergisch Gladbach
Sattlerweg 8, 51429 Bergisch Gladbach
Schloßstr. 53, 51429 Bergisch Gladbach
Kempener Str. 79, 51469 Bergisch Gladbach
Emil-Höllein-Platz 2, 07743 Jena
Leutragraben 1, 07743 Jena
Fuchslöcherstr. 5, 07749 Jena
Kesslerstr. 12, 07745 Jena
Max-Steenbeck-Str. 48, 07745 Jena
Salvador-Allende-Platz 25, 07747 Jena
Chemnitzer Straße 90-94, 38226 Salzgitter
Ludwig-Erhard-Str. 2, 38226 Salzgitter
Hüttenring 50, 38228 Salzgitter
Reichenb. Str. 59-61/Weddemweg, 38229 Salzgitter
Schäferwiese 15, 38239 Salzgitter
Am Pfingstanger 19, 38259 Salzgitter Bad
Friedrich-Ebert-Str. 41, 38259 Salzgitter Bad
Brückenstr. 4, 54290 Trier
Fleischstr. 62-65, 54290 Trier
Simeonstr. 15, 54290 Trier
Wasserweg 2, 54292 Trier
Gartenfeldstr. 21, 54295 Trier
Schönbornstraße 12, 54295 Trier
An der Ehranger Mühle 8, 54293 Trier
Freudenberger Str. 448, 57072 Siegen
Markt 9-25, 57072 Siegen
Giersbergstr. 300, 57074 Siegen
Innenstadt - Leimbachstr. 17, 57074 Siegen
Breitscheid Str. 1, 57078 Siegen
Am Bahnhof 40, 57072 Siegen
Geisweider Str. 27-37, 57078 Siegen
Uerdingerstr. 55, 47441 Moers
Markt 1 - 3, 47445 Moers
Berliner Str. 133 / Nordring, 33330 Gütersloh
Osnabrücker Landstr. 1, 33335 Gütersloh
Fruchthallstr. 29, 67655 Kaiserslautern
Stiftsplatz 5, 67655 Kaiserslautern
Lange Straße 27, 96047 Bamberg
Würzburger Str. 55, 96049 Bamberg
Kapellenstraße 6, 96050 Bamberg
An der Breitenau 2, 96052 Bamberg
Hauptsmoorstr. 71, 96052 Bamberg
Pödeldorfer Str. 1, 96052 Bamberg

Kaufland
Karl-Liebknecht-Straße 13, 10178 Berlin
Brunnenstraße 105-109, 13355 Berlin
Storkower Straße 139, 10407 Berlin
Hermann-Blankenstein-Straße 38, 10249 Berlin
Perleberger Straße 42 A, 10559 Berlin
Karl-Marx-Straße 66, 12043 Berlin
Frankfurter Allee 113-117, 10365 Berlin
Residenzstraße 85, 13409 Berlin
Marktstraße 6, 10317 Berlin
Müllerstraße 123-125, 13349 Berlin
Breite Straße 19-21 A, 13187 Berlin
Romain-Rolland-Straße 13, 13089 Berlin
Schöneberger Straße 7, 12103 Berlin
Karl-Marx-Straße 231-235, 12055 Berlin
Sewanstraße 4, 6, 10319 Berlin
Bessemerstraße 57-75, 12103 Berlin
Ollenhauerstraße 122, 13403 Berlin
Hauptstraße 9-10, 13055 Berlin
Märkische Allee 166, 168, 172, 12681 Berlin
Senftenberger Ring 15-17, 13439 Berlin
Gutschmidtstraße 19, 12359 Berlin
Schnellerstraße 21, 12439 Berlin
Eichhorster Weg 96, 13435 Berlin
Weißenhöher Straße 88-108, 12683 Berlin
Johannisthaler Chaussee 295-327, 12351 Berlin
Buckower Chaussee 100-102, 12277 Berlin
Ostpreußendamm 60, 12207 Berlin
Am Juliusturm 40-46, 13599 Berlin
Pichelswerderstraße 6, 13597 Berlin
Rudower Chaussee 12, 12489 Berlin
Goerzallee 195, 14167 Berlin
Walter-Friedrich-Straße 4, 13125 Berlin
Friedrichshagener Straße 38-42, 12555 Berlin
Grünhofer Weg 9, 13581 Berlin
Wilhelmstraße 21-25, 13593 Berlin
Beim Strohhause 8, 20097 Hamburg
Stresemannstraße 300, 22761 Hamburg
Nedderfeld 70, 22529 Hamburg
Helbingtwiete 7/9, 22047 Hamburg
Eckhoffplatz 1, 22547 Hamburg
Bramfelder Dorfplatz 18, 22179 Hamburg
Berner Heerweg 173-175, 22159 Hamburg
Krohnstieg 4, 22415 Hamburg
Marktpassage 5, 21149 Hamburg
Bergedorfer Straße 106, 21029 Hamburg
Berg-am-Laim-Straße 117, 81673 München
Thomas-Dehler-Straße 10, 81737 München
Margot-Kalinke-Straße 4, 80939 München
Bunzlauer Platz 5-7, 80992 München
Schleißheimer Straße 506, 80933 München
Kalker Hauptstraße 112, 51103 Köln
Thebäerstraße 9, 50823 Köln
Gremberger Straße 200, 51105 Köln
Boltensternstraße 104-112, 50735 Köln
Frankfurter Straße 87 A, 51065 Köln
Ostmerheimer Straße 198, 51109 Köln
Wächtersbacher Straße 75, 60386 Frankfurt am Main
Mainzer Landstraße 683, 65933 Frankfurt am Main
Josef-Gesing-Straße 6, 15234 Frankfurt (Oder)
Spitzkrugring 1 A, 15234 Frankfurt (Oder)
Heilbronner Straße 30, 15230 Frankfurt (Oder)
Friedrichstraße 152, 40217 Düsseldorf
Hilde-und-Joseph-Neyses-Platz 5, 40476 Düsseldorf
Wildunger Straße 2-4, 70372 Stuttgart
Augsburger Straße 460, 70327 Stuttgart
Rembrandtstraße 47, 70567 Stuttgart
Schwabenplatz 1, 70563 Stuttgart
Aldinger Straße 70, 70378 Stuttgart
Dresdner Straße 80, 04317 Leipzig
Lindenauer Markt 2, 04177 Leipzig
Georg-Schumann-Straße 105, 04155 Leipzig
Georg-Schumann-Straße 290, 04159 Leipzig
Anton-Zickmantel-Straße 42, 04249 Leipzig
Torgauer Straße 279, 04347 Leipzig
Kiewer Straße 30, 04205 Leipzig
Paunsdorfer Allee 1, 04329 Leipzig
Miltitzer Straße 13, 04178 Leipzig
Bornstraße 160 a, 44145 Dortmund
Körner Hellweg 142, 44143 Dortmund
Luisenglück 43, 44225 Dortmund
Aplerbecker Marktplatz 7-10, 44287 Dortmund
Wulfshofstraße 6-8, 44149 Dortmund
Sebaldsbrücker Heerstraße 155, 28309 Bremen
Zum Alten Speicher 1, 28759 Bremen
Berthold-Beitz-Boulevard 500, 45141 Essen
Haedenkampstraße 21, 45143 Essen
Altenessener Straße 411, 45329 Essen
Gerichtsstraße 25, 45355 Essen
Borsbergstraße 35, 01309 Dresden
Kohlenstraße 18, 01189 Dresden
Kesselsdorfer Straße 81, 01159 Dresden
Reicker Straße 60, 01219 Dresden
Peschelstraße 33, 01139 Dresden
Harthaer Straße 3, 01169 Dresden
Dohnaer Straße 246, 01239 Dresden
Hohenbusch-Markt 1, 01108 Dresden
An der Prießnitzaue 3, 01328 Dresden
Schwabacher Straße 99, 90439 Nürnberg
Fürther Straße 187, 90429 Nürnberg
Dianaplatz 23-25, 90443 Nürnberg
Oppelner Straße 223, 90473 Nürnberg
Rundestraße 5, 30161 Hannover
Bornumer Straße 141, 30453 Hannover
Krepenstraße 5, 30165 Hannover
Auf der Höhe 20, 47059 Duisburg
Friedrich-Ebert-Straße 2, 47119 Duisburg
Kirchstraße 96, 47198 Duisburg
Duisburger Straße 303, 47166 Duisburg
Kometenplatz 10, 47179 Duisburg
Speicherstraße 2, 44809 Bochum
Ümminger Straße 90, 44892 Bochum
Alter Markt 1, 44866 Bochum
Ottostraße 40-43, 44867 Bochum
Elberfelder Straße 8, 42285 Wuppertal
Kaiserstraße 39-41, 42329 Wuppertal
Schweriner Straße 4, 33605 Bielefeld
Gütersloher Straße 122, 33649 Bielefeld
Oppelner Straße 128, 53119 Bonn
Maybachstraße 28, 68169 Mannheim
Ortenbergstraße 8, 76135 Karlsruhe
Durlacher Allee 111, 76137 Karlsruhe
Carl-Metz-Straße 7, 76185 Karlsruhe
Reichenberger Straße 59, 86161 Augsburg
Meraner Straße 6, 86165 Augsburg
Gögginger Straße 119, 86199 Augsburg
Biberbachstraße 10, 86154 Augsburg
Äppelallee 69, 65203 Wiesbaden
Aachener Straße 387, 41069 Mönchengladbach
Reyerhütte 1, 41065 Mönchengladbach
Krefelder Straße 131, 41063 Mönchengladbach
Moses-Stern-Straße 29, 41236 Mönchengladbach
Vaalser Straße 242-246, 52074 Aachen
Breslauer Straße 35, 52068 Aachen
Hamburger Straße 250, 38114 Braunschweig
Senefelderstraße 5, 38124 Braunschweig
Skandinaviendamm 299, 24109 Kiel
Thomas-Mann-Platz 1 C, 09130 Chemnitz
Im Neefepark 3, 09116 Chemnitz
Chemnitzer Straße 65, 09123 Chemnitz
Zum Handelshof 1, 39108 Magdeburg
Halberstädter Straße 182-186, 39112 Magdeburg
Kantstraße 5 A, 39104 Magdeburg
Lübecker Straße 122, 39124 Magdeburg
Waldkircher Straße 57, 79106 Freiburg im Breisgau
St.-Georgener-Straße 2, 79111 Freiburg im Breisgau
Mevissenstraße 60, 47803 Krefeld
Magdeburger Chaussee 23, 06118 Halle (Saale)
Zollrain 9, 06124 Halle (Saale)
Leipziger Chaussee 147, 06112 Halle (Saale)
Haifa-Allee 1, 55128 Mainz
Rheinallee 120, 55120 Mainz
Leipziger Straße 78a, 99085 Erfurt
Hermsdorfer Straße 4, 99099 Erfurt
Nordhäuser Straße 73t, 99091 Erfurt
Kranichfelder Straße 103, 99097 Erfurt
Concordiastraße 32, 46049 Oberhausen
Bahnhofstraße 80-84, 46145 Oberhausen
Pütterweg 1, 18059 Rostock
Handwerkstraße 1, 18069 Rostock
Franzgraben 40-42, 34125 Kassel
Freiligrathstraße 51, 58099 Hagen
Auf dem Lölfert 50, 58119 Hagen
Babelsberger Straße 16, 14473 Potsdam
Zeppelinstraße 132, 14471 Potsdam
Am Moosfenn 1, 14478 Potsdam
Breslauer Straße 1 A, 66121 Saarbrücken
Ökonomierat-Peitzmeier-Platz 2-4, 59063 Hamm
Wilhelmstraße 197, 59067 Hamm
Römerstraße 16, 59075 Hamm
Münsterstraße 183, 59073 Hamm
Stubbenweg 27, 26125 Oldenburg
Prälat-Caire-Straße 7, 67071 Ludwigshafen
Heifeskamp 6, 45475 Mülheim an der Ruhr
Stixchesstraße 123, 51377 Leverkusen
Carl-Fischer-Straße 1, 49084 Osnabrück
Kurt-Schumacher-Damm 52-54, 49078 Osnabrück
Stresemannstraße 37, 42719 Solingen
Friedenstraße 64, 42699 Solingen
Riemekestraße 37, 33102 Paderborn
Husener Straße 121, 33100 Paderborn
Bentelerstraße 4, 33104 Paderborn
Hauptstraße 211, 44649 Herne
Kurfürsten-Anlage 61, 69115 Heidelberg
Eppelheimer Straße 78, 69123 Heidelberg
Hertzstraße 1, 69126 Heidelberg
Römerstraße 120, 41462 Neuss
Bataverstraße 93, 41462 Neuss
Friedenstraße 23, 93053 Regensburg
Donaustaufer Straße 128, 93059 Regensburg
Hans-Hayder-Straße 2, 93059 Regensburg
Richard-Wagner-Straße 40, 85057 Ingolstadt
Münchener Straße 146, 85051 Ingolstadt
Am Mühlkanal 4, 75172 Pforzheim
Hohwiesenweg 2-2a, 75175 Pforzheim
Wilhelm-Becker-Straße 15, 75179 Pforzheim
Nürnberger Straße 12, 97076 Würzburg
Industriestraße 3-5, 97076 Würzburg
Olgastraße 57, 74072 Heilbronn
Neckargartacher Straße 111, 74080 Heilbronn
Stuttgarter Straße 85, 74074 Heilbronn
Blaubeurer Straße 29, 89077 Ulm
Brandgehaege 9, 38444 Wolfsburg
Elliehäuser Weg 23, 37079 Göttingen
Kurze-Geismar-Straße 26, 28, 30, 37073 Göttingen
Am Kauf Park 2, 37079 Göttingen
Pferdebade 6, 27580 Bremerhaven
Bohmsiel 1, 27572 Bremerhaven
Berliner Platz 8, 46236 Bottrop
Carl-Thiersch-Straße 4, 91052 Erlangen
Westl. Stadtmauerstraße 27, 91054 Erlangen
Presover Straße 20, 42859 Remscheid
Refrather Weg 1, 51465 Bergisch Gladbach
Naumburger Straße 57 A, 07743 Jena
Karl-Marx-Allee 20, 07747 Jena
Albert-Schweitzer-Straße 1, 38226 Salzgitter
Aachener Straße 58, 54294 Trier
Ostallee 3-7, 54290 Trier
Hagener Straße 133, 57072 Siegen
Römerstraße 570, 47443 Moers
Hülsdonker Straße 86, 47441 Moers
Am Anger 22, 33332 Gütersloh
Pariser Straße 123, 67655 Kaiserslautern
Forchheimer Straße 15, 96050 Bamberg

Aldi Nord
Friedrichstraße 149, 10117 Berlin
Berolinastraße 7, 10178 Berlin
Weinstraße 9, 10249 Berlin
Heinrich-Heine-Platz 8-12, 10179 Berlin
Leipziger Platz 12, 10117 Berlin
Eisenbahnstraße 42, 10997 Berlin
Invalidenstraße 59, 10557 Berlin
Rüdersdorfer Straße 65, 10243 Berlin
Gerichtstraße 2-3, 13347 Berlin
Tamara-Danz-Straße 11, 10243 Berlin
Greifswalder Straße 168, 10409 Berlin
Schwedter Straße 83, 10437 Berlin
Badstraße 4, 13357 Berlin
Liberdastraße 5, 12047 Berlin
Storkower Straße 176, 10369 Berlin
Ostseestraße 25, 10409 Berlin
Hasenheide 108, 10967 Berlin
Revaler Straße 33, 10245 Berlin
Kreuzbergstraße 39, 10965 Berlin
Esplanade 9, 13187 Berlin
Potsdamer Straße 180, 10783 Berlin
Börnestraße 25, 13086 Berlin
Neumannstraße 13, 13189 Berlin
Frankfurter Allee 117, 10365 Berlin
Chopinstraße 28, 13088 Berlin
Karl-Marx-Straße 92-98, 12043 Berlin
Richard-von-Weizsäcker-Platz 2, 10827 Berlin
Kiefholzstraße 49, 12435 Berlin
Frankfurter Allee 144, 10365 Berlin
Müllerstraße 128, 13349 Berlin
Hermannstraße 72, 12049 Berlin
Josef-Orlopp-Straße 22-24, 10367 Berlin
Pankower Allee 17-19, 13409 Berlin
Hoeppnerstraße 3-13, 12101 Berlin
Breite Strasse 20, 13187 Berlin
Saatwinkler Damm 8, 13627 Berlin
Prager Platz 1-3, 10779 Berlin
Rennbahnstraße 65, 13086 Berlin
Huttenstraße 41-44, 10553 Berlin
Straße vor Schönholz 21, 13158 Berlin
Schöneberger Straße 28, 12103 Berlin
Hauptstraße 36, 10317 Berlin
Silbersteinstraße 146, 12051 Berlin
Karl-Marx-Straße 231-235, 12055 Berlin
Wilmersdorfer Straße 36-37, 10625 Berlin
Landsberger Allee 277, 13055 Berlin
Rummelsburger Straße 98, 10319 Berlin
Wexstraße 16-18, 10715 Berlin
Grenzallee 4 L, 12057 Berlin
Tempelhofer Damm 198-200, 12099 Berlin
Blankenburger Straße 86-92, 13156 Berlin
Hauptstraße 9, 13055 Berlin
Dietzgenstraße 82, 13156 Berlin
Alfred-Kowalke-Straße 2, 10315 Berlin
Ollenhauerstraße 106, 13403 Berlin
Mecklenburgische Straße 23a-24, 14197 Berlin
Roedernallee 15-16, 13407 Berlin
Heilbronner Straße 26a, 10711 Berlin
Röblingstraße 124, 12105 Berlin
Schloßstraße 4-5, 12163 Berlin
Sewanstraße 259, 10319 Berlin
Späthstraße 14-15, 12359 Berlin
Bismarckstraße 17, 12169 Berlin
Fürstenbrunner Weg 50, 14059 Berlin
Prerower Platz 1, 13051 Berlin
Bergstraße 93-97, 12169 Berlin
Köpenicker Landstraße 294, 12437 Berlin
Alt-Mariendorf 16, 12107 Berlin
Marzahner Chaussee 218, 12681 Berlin
Hauptstraße 119, 13158 Berlin
Oranienburger Straße 57/58, 13437 Berlin
Buckower Damm 50, 12349 Berlin
Theodor-Heuss-Platz 7, 14052 Berlin
Märkische Spitze 21, 12681 Berlin
Rummelsburger Straße 16, 12459 Berlin
Warnemünder Straße 8, 14199 Berlin
Senftenberger Ring 17, 13439 Berlin
Treseburger Straße 26, 13129 Berlin
Fritz-Reuter-Allee 184, 12359 Berlin
Holzhauser Straße 26, 13509 Berlin
Haynauer Straße 76-80, 12249 Berlin
Dorfstraße 22, 13059 Berlin
Zirkusweg 4-6, 20359 Hamburg
Neuer Kamp 31, 20359 Hamburg
Lola-Rogge-Platz 38, 20457 Hamburg
Holstenstraße 156, 22765 Hamburg
Große Bergstraße 152-162, 22767 Hamburg
Grindelberg 27-31, 20144 Hamburg
Eimsbütteler Chaussee 85, 20259 Hamburg
Bismarckstraße 24, 20259 Hamburg
Ernst-August-Stieg 7, 21107 Hamburg
Lübecker Straße 116-124, 22087 Hamburg
Billhorner Röhrendamm 145-147, 20539 Hamburg
Ottenser Hauptstraße 10, 22765 Hamburg
Eiffestraße 406-418, 20537 Hamburg
Osterstraße 119, 20259 Hamburg
Bahrenfelder Straße 188, 22765 Hamburg
Hamburger Straße 23, 22083 Hamburg
Eidelstedter Weg 44, 20255 Hamburg
Barmbeker Straße 17-25, 22303 Hamburg
Holsteinischer Kamp 65, 22081 Hamburg
Paul-Dessau-Straße 8, 22761 Hamburg
Winterhuder Marktplatz 6 7 a, 22299 Hamburg
Menckesallee 24-26, 22089 Hamburg
Dratelnstraße 23-25, 21109 Hamburg
Bahrenfelder Kirchenweg 80, 22761 Hamburg
Osterfeldstraße 39, 22529 Hamburg
Krüsistraße 7, 22305 Hamburg
Horner Landstraße 110, 22111 Hamburg
Wandsbeker Marktstraße 103-107, 22041 Hamburg
Grelckstraße 2, 22529 Hamburg
Randstraße 77, 22525 Hamburg
Bramfelder Straße 103, 22305 Hamburg
Borsteler Chaussee 86, 22453 Hamburg
Fuhlsbüttler Straße 334, 22307 Hamburg
Auf dem Königslande 21, 22041 Hamburg
Köhlfleet-Hauptdeich 7, 21129 Hamburg
Kieler Straße 577e, 22525 Hamburg
Alsterdorfer Markt 4, 22297 Hamburg
Stephanstraße 6, 22047 Hamburg
Schiffbeker Weg 27, 22111 Hamburg
Osdorfer Landstraße 1a, 22607 Hamburg
Querkamp 69, 22119 Hamburg
Gustav-Adolf-Straße 92, 22043 Hamburg
Steilshooper Straße 317, 22309 Hamburg
Haldesdorfer Straße 86, 22179 Hamburg
Luruper Hauptstraße 79, 22547 Hamburg
Schreyerring 6, 22309 Hamburg
Tibarg 41-43, 22459 Hamburg
Lohkampstraße 11-25, 22523 Hamburg
Möllner Landstraße 131, 22117 Hamburg
Tonndorfer Hauptstraße 28, 22045 Hamburg
Schippelsweg 51, 22455 Hamburg
Erdkampsweg 134, 22335 Hamburg
Lüneburger Straße 39, 21073 Hamburg
Berner Chaussee 16, 22175 Hamburg
Jenfelder Allee 70, 22043 Hamburg
Grimmaische Straße 13-15, 04109 Leipzig
Willy-Brandt-Platz 7, 04109 Leipzig
Elsterstraße 51 - 57, 04109 Leipzig
Windmühlenstraße 31, 04107 Leipzig
Braustraße 26, 04107 Leipzig
Prager Straße 30c, 04103 Leipzig
Konradstraße 27, 04315 Leipzig
Nonnenstraße 13-15, 04229 Leipzig
Arthur-Hoffmann-Straße 113, 04275 Leipzig
Elsbethstraße 25, 04155 Leipzig
Eilenburger Straße 55, 04317 Leipzig
Delitzscher Straße 61, 04129 Leipzig
Lützner Straße 148-158, 04179 Leipzig
Georg-Schwarz-Straße 92-96, 04179 Leipzig
Klingenstraße 38a, 04229 Leipzig
Max-Liebermann-Straße 19f, 04157 Leipzig
Löbauer Straße 68-70, 04347 Leipzig
Holzhäuser Straße 108, 04299 Leipzig
Riesaer Straße 30, 04328 Leipzig
Tauchaer Straße 10, 04357 Leipzig
Georg-Schumann-Straße 363, 04159 Leipzig
Bockstraße 1-3, 04289 Leipzig
Friederikenstraße 25, 04279 Leipzig
Heinrich-Heine-Straße 39, 04178 Leipzig
Gerhard-Ellrodt-Straße 30, 04249 Leipzig
Ludwigsburger Straße 9, 04209 Leipzig
Goldsternstraße 58, 04329 Leipzig
Handelsstraße 4-8, 04356 Leipzig
Jupiterstraße 44, 04205 Leipzig
Miltitzer Straße 13, 04178 Leipzig
Hugo-Aurig-Straße 7a, 04319 Leipzig
Straße am See 1, 04207 Leipzig
Märkische Straße 86-88, 44141 Dortmund
Schützenstraße 144-146, 44147 Dortmund
Bornstraße 160, 44145 Dortmund
Joachimstraße 4, 44147 Dortmund
Körner Hellweg 20, 44143 Dortmund
Gildenstraße 65, 44263 Dortmund
Freie-Vogel-Straße 9, 44263 Dortmund
Luisenglück 30, 44225 Dortmund
Benninghofer Straße 99, 44269 Dortmund
Lüdinghauser Straße 18, 44339 Dortmund
Aspeystraße 75, 44369 Dortmund
Hagener Straße 148, 44225 Dortmund
Schulte-Heuthaus-Straße 54, 44379 Dortmund
Oesterstraße 120, 44309 Dortmund
Rodenbergstraße 23, 44287 Dortmund
Wulfshofstraße 5, 44149 Dortmund
Frohlinder Straße 12, 44379 Dortmund
Wittbräucker Straße 53a, 44287 Dortmund
Wittbräucker Straße 372, 44267 Dortmund
Kruckeler Str. 266, 44227 Dortmund
Droote 46, 44328 Dortmund
Evinger Straße 583, 44339 Dortmund
Schleefstraße 15-19, 44287 Dortmund
Altenderner Straße 18, 44329 Dortmund
Bodelschwingher Straße 142, 44357 Dortmund
Siegburgstraße 20, 44359 Dortmund
